Judul Berita,Isi Berita,Tanggal Berita,Kategori Berita
Zonasi Pendaftaran Siswa Baru Tunggu Keputusan Sidang Kabinet,"KUDUS, KOMPAS.com – Menteri Pendidikan Dasar dan Menengah (Mendikdasmen) Abdul Mu'ti menyatakan keputusan akhir soal zonasi pendaftaran siswa baru akan ditentukan setelah rapat kabinet.""Sidang kabinet yang akan memutuskan. Kami sudah empat kali mengkaji zonasi dan semangatnya tetap mengedepankan konsep ini,"" katanya saat menghadiri sarasehan dengan guru di Pendopo Kabupaten Kudus, Sabtu (30/11/2024) malam, seperti dilansir Antara.Abdul Mu'ti menjelaskan, zonasi bertujuan menciptakan pendidikan berkualitas untuk semua, membangun inklusi sosial, dan memperkuat integrasi serta kohesi sosial.Baca juga: Mendikdasmen Pertimbangkan Sekolah Swasta di PPDB Zonasi Sistem BaruSemangat ini mendorong berbagai pihak untuk tetap mempertahankan zonasi sebagai bagian sistem pendidikan.Sistem zonasi mencakup empat jalur: zonasi, afirmasi, perpindahan orang tua, dan prestasi. Namun, jalur prestasi masih menimbulkan permasalahan.""Belum ada panduan jelas untuk mengukur prestasi, sehingga sulit bagi sekolah menentukan dasar penerimaan siswa,"" jelas Abdul.Terkait zonasi untuk sekolah dasar (SD), Abdul menerima masukan agar cakupan wilayahnya lebih luas.Baca juga: Dilema Sistem Zonasi: Pemerataan atau Pembatasan Akses BersekolahSementara untuk sekolah menengah atas (SMA), rayonisasi dianggap lebih relevan, terutama di kecamatan yang tidak memiliki SMA.""Ini menjadi pertimbangan kami. Keputusan akhirnya akan diambil melalui sidang kabinet,"" tutupnya.",1/12/2024,REGIONAL
"Hilang Diterjang Longsor Sibolangit, Jasad Sopir Hiace Ditemukan 15 Km dari Lokasi Kejadian","KOMPAS.com - Sopir Toyota Hiace yang diterjang longsor Sibolangit, Selasa (26/11/2024), ditemukan pada Sabtu (30/11/2024) sekitar pukul 16.30 WIB.Korban bernama Tengku Riski (31) ditemukan dalam kondisi tak bernyawa, 15 kilometer dari lokasi kejadian, Jalan Jamin Ginting, Kecamatan Sibolangit, Kabupaten Deli Serdang, Sumatera Utara.“Jenazahnya ditemukan sekitar 15 km dari lokasi kejadian. Itu di sekitar perkebunan sawit daerah Kecamatan Namorambe, Deli Serdang. Korban cukup jauh terseret material longsor,” ujar Kepala Kepolisian Resor Kota Besar (Kapolrestabes) Medan Kombes Gidion Arif Setyawan, Sabtu.Dengan ditemukannya Riski, korban jiwa dalam longsor Sibolangit menjadi 10 orang.Baca juga: Longsor Sibolangit: Sopir yang Hilang Ditemukan Tewas, Total 10 Korban JiwaKepala Kantor SAR Medan Mustari mengatakan, dengan ditemukannya korban terakhir pada Sabtu sore, operasi SAR bencana tanah longsor di Sibolangit resmi ditutup pada Sabtu malam.Dikutip dari Antara, terdapat 33 korban tanah longsor, yang mana 10 di antaranya meninggal dunia. Tengku Riski, warga Medan, menjadi korban jiwa terakhir yang ditemukan.""Sore tadi jasad korban langsung dievakuasi ke RSUD Adam Malik Medan dan juga sudah diserahkan kepada pihak keluarga,"" ucap Mustari, Sabtu.Baca juga: Harapan Pulang Nyoblos yang Terkubur di Longsor SibolangitSebelumnya, petugas telah mengevakuasi 23 korban luka ke RSUD Adam Malik Medan dan Puskesmas Sibolangit.Mustari menuturkan, karena tak ada lagi laporan korban hilang, serta semua korban telah dievakuasi, operasi SAR pun ditutup.Penutupan operasi SAR ini dilakukan atas kesepakatan bersama antara Basarnas dan pihak-pihak yang terlibat dalam operasi, antara lain TNI, Polri, dan Pemerintah Kabupaten Deli Serdang.Baca juga: Harapan Pulang Nyoblos yang Terkubur di Longsor SibolangitSumber: Kompas.com (Penulis: Goklas Wisely | Editor: Aloysius Gonsaga AE), Antara",1/12/2024,REGIONAL
"Ada Pemilih Tiga Kali ""Nyoblos"", PSU Digelar di TPS Halmahera Utara","TERNATE, KOMPAS.com – Komisi Pemilihan Umum (KPU) Provinsi Maluku Utara memastikan dua kabupaten di wilayah tersebut akan melaksanakan Pemungutan Suara Ulang (PSU).PSU akan digelar di TPS 1 dan 2 Desa Igobula, Kecamatan Galela Selatan, Kabupaten Halmahera Utara, serta TPS 06 Desa Nurweda, Kecamatan Weda, Kabupaten Halmahera Tengah.Ketua Divisi Teknis Penyelenggaraan KPU Maluku Utara, Reni S.A. Banjar, menjelaskan rekomendasi PSU datang dari Badan Pengawas Pemilu (Bawaslu) setempat.“Tadi malam pukul 23.10 WIT, Bawaslu Halmahera Utara merekomendasikan PSU di TPS 1 dan 2 Desa Igobula. Hari ini, KPU Halmahera Utara mulai mempersiapkan pelaksanaan PSU,” jelas Reni, Minggu (1/12/2024).Baca juga: Petugas KPPS di Kapuas Mencoblos Surat Suara Sisa, TPS Gelar PSUKPU Kabupaten Halmahera Tengah juga menerima rekomendasi PSU di TPS 06 Desa Nurweda, Kecamatan Weda.Menurut Reni, KPU Halmahera Tengah sedang berkoordinasi dengan Bawaslu dan tim kampanye pasangan calon terkait logistik dan teknis pelaksanaan.Reni menyebutkan pelanggaran di TPS 1 dan 2 Desa Igobula berupa seorang pemilih yang menggunakan hak pilihnya tiga kali di kedua TPS tersebut.Di TPS 06 Desa Nurweda, Kecamatan Weda, pelanggaran terjadi karena pemilih menggunakan KTP Kota Ternate tanpa mengurus dokumen pindah memilih.“KTP-nya dari Kota Ternate, tetapi menggunakan hak pilih di Halmahera Tengah tanpa prosedur pindah memilih,” terang Reni.Baca juga: 18 TPS di Kabupaten Jayapura Direkomendasikan PSUReni menjelaskan, PSU meliputi pemilihan gubernur dan bupati di dua kabupaten tersebut. Jadwal PSU akan ditentukan oleh masing-masing KPU kabupaten/kota.“Tahapan dimulai dengan sosialisasi, bimbingan teknis kepada KPPS di TPS PSU, lalu pemungutan suara ulang,” tandasnya. ",1/12/2024,REGIONAL
"Prabowo: Bangsa yang Kekayaannya Banyak, Elitenya Suka Lengah","JAKARTA, KOMPAS.com - Presiden Prabowo Subuanto mengatakan, keuangan merupakan bagian yang vital bagi sebuah bangsa.Ia mengutip pernyataan politik yang menyebutkan bahwa jika ingin menghancurkan suatu negara hancurkanlah pertama mata uangnya.""Keuangan adalah bagian yang sangat vital daripada kedaulatan dan kemerdekaan suatu bangsa,"" kata Prabowo saat menghadiri Pertemuan Tahunan Bank Indonesia (PTBI) di Kompleks Bank Indonesia, Jakarta Pusat, Jumat (29/11/2024) malam.""Jadi Gubernur BI, Menteri Keuangan, ketua OJK, semua pelaku keuangan tugas dan tanggung jawab saudara tidak ringan,"" ujar dia.Baca juga: Tekad Prabowo Ciptakan Clean GovermentPrabowo mengatakan, dalam ilmu tentara para menteri, otoritas, dan regulator adalah jenderal-jenderal bintang 4.""Kedaulatan dan kemerdekaan bangsa Indonesia saudara berada di garis paling depan. Saya ingat itu dan itu memang kita waspadai,"" ungkapnya.Dia menegaskan, fundamental Indonesia cukup kuat, yang didukung oleh sumber-sumber daya yang kuat, hingga kekayaan yang kuat dan banyak.""Masalahnya bagi bangsa yang kekayaannya banyak, elitenya suka lengah,"" jelasnya.Baca juga: Prabowo Bangga Indonesia Jadi Negara Besar yang Tak Pernah Gagal Bayar Utang""Resource rich nation sometimes can't take care and protect the resources,"" lanjut dia.Dia menambahkan, sikap berpuas diri akan membuat sumber daya yang dimiliki tidak terawasi dengan baik. Sehingga menyebabkan terjadinya kebocoran.""Kemudian terjadi sikap complision sikap puas diri, sikap lengah. Dengan kelengahan, dengan ketidakwaspadaan terjadi kebocoran-kebocoran yang tidak perlu terjadi,"" tegasnya.",1/12/2024,NEWS
"Petugas KPPS di Kapuas Mencoblos Surat Suara Sisa, TPS Gelar PSU","PALANGKA RAYA, KOMPAS.com – Ketua Kelompok Panitia Pemungutan Suara (KPPS) dan seorang anggotanya di Kabupaten Kapuas, Kalimantan Tengah, viral di media sosial setelah mencoblos surat suara sisa pada hari pemungutan suara, 27 November 2024.Akibat kejadian itu, TPS 4 di Kelurahan Selat Utara, Kecamatan Selat, harus menggelar pemungutan suara ulang (PSU) pada Minggu (1/12/2024). Kedua petugas juga terjerat dugaan tindak pidana pemilihan.Ketua Badan Pengawas Pemilu (Bawaslu) Kapuas, Iswahyudi Wibowo, menyebutkan PSU dilakukan karena kasus tersebut serta selisih data surat suara.“Selain kejadian itu, data surat suara tidak sinkron. Ada selisih setelah dihitung,” ujar Iswahyudi, Minggu.Baca juga: Ketua dan Anggota KPPS di Kapuas Terciduk Coblos Surat Suara Sisa, Ini Kata KPUIswahyudi menjelaskan, surat suara Pasangan calon (Paslon) gubernur dan wakil gubernur Kalimantan Tengah berkurang 20 lembar, sementara Paslon Bupati dan Wakil Bupati Kapuas kurang 18 lembar.“Diduga ada peristiwa sebelum ketahuan atau OTT (Operasi Tangkap Tangan) yang menyebabkan kekurangan surat suara,” tambahnya.Iswahyudi mengatakan proses hukum terhadap kedua petugas masih berjalan di Gakkumdu Kapuas.“Tanggal 2 Desember nanti akan diputuskan apakah kasusnya diteruskan ke kepolisian atau tidak,” jelasnya.Ketua Bawaslu Kalimantan Tengah, Satriadi, menyebut kedua petugas terancam pidana maksimal dua tahun penjara karena melanggar pasal 178 b dan 178 c ayat 3 Undang-Undang Nomor 10 Tahun 2016.“Mereka dikategorikan mencoblos atas nama orang lain,” ungkap Satriadi.Baca juga: Bandar Judi Online Ditangkap di Kapuas Saat Asyik BermainTPS 4 menjadi satu-satunya TPS di Kapuas yang menggelar PSU akibat pelanggaran petugas.Selain di Kapuas, beberapa TPS di kabupaten dan kota lain di Kalimantan Tengah juga menggelar PSU karena dugaan pelanggaran.",1/12/2024,REGIONAL
Hak Kemanusiaan ODHA,"SEMUA penyakit karena gaya hidup atau perilaku yang salah. Gaya hidup atau perilaku yang membuat manusia rentan terkena penyakit. Baik penyakit menular maupun penyakit tidak menular, faktor gaya hidup/perilaku sangat menentukan.Penyakit AIDS merupakan epidemi yang mengancam dan mematikan. Mulanya karena perilaku seksual menyimpang.Risiko penularan tinggi juga pada mereka dengan seksual menyimpang atau seksual tidak aman. Perilaku seksual menjadi populasi kunci. Sayangnya populasi kunci tersebut mendapatkan stigma dan diskriminasi sejak lama.Setelah beberapa dekade epidemi HIV/AIDS, kita belum dapat mengatasi stigma dan diskriminasi.Penyebaran dan kasus baru HIV terus meningkat, khususnya di kalangan usia produktif. Akses terhalang hingga pelayanan yang tersedia belum dimanfaatkan dengan maksimal.Akses untuk pelayanan penyakit AIDS telah dibuka lebar pemerintah (Kemenkes). Mulai dari puskesmas, rumah sakit kota/kabupaten, rumah sakit provinsi, hingga rumah sakit pusat. Juga kebutuhan SDM, alkes, obat oportunistik, dan ARV telah dipenuhi.Di tiap fasyankes telah dibuka poli VCT (voluntary counselling and testing). Sebuah layanan untuk membantu pencegahan, perawatan, dan pengobatan bagi orang dengan HIV/AIDS (ODHA) serta masyarakat dengan perilaku berisiko.Ternyata tidak banyak yang memanfaatkan akses layanan VCT. ODHA dan orang dengan perilaku berisiko HIV/AIDS belum memanfaatkan secara efektif dalam penanggulangan AIDS.Pelayanan VCT berdasarkan sukarela. Hanya mereka yang dapat informasi, teredukasi akan tergerak menuju pelayanan VCT.Untuk kondisi ini, Kemenkes menyebutkan dua situasi. Pertama, kurangnya kesadaran masyarakat terhadap bahaya HIV/AIDS, sehingga menganggap diri mereka aman dan tak perlu melakukan tes HIV.Kedua, stigma masyarakat terhadap ODHA begitu kuat, sehingga ODHA enggan, malu, atau takut melakukan tes HIV.Target Kemenkes mencapai 95-95-95 pada tahun 2030 sesuai dengan target global pengendalian HIV/AIDS. Yaitu 95 persen ODHA mengetahui statusnya, 95 persen ODHA yang mengetahui statusnya mendapatkan pengobatan, dan 95 persen ODHA yang diobati virusnya tersupresi.Poli VCT dan skrining yang agresif dilaksanakan menuju pencapaian target ambisius tersebut. Hanya saja kita mendapati masih rendahnya akses ke poli VCT dan cakupan skrining tes HIV di tengah masyarakat. Sehingga jalan ke 2030 masih cukup terjal.Poli VCT merupakan pintu layanan yang dibuka seluasnya bagi masyarakat yang ingin mengetahui status HIV.Di VCT terdapat konseling pretest dan pascatest serta pemeriksaan test HIV sebagai inti pelayanan VCT. Semua puskesmas dan rumah sakit memiliki poli VCT sebagai strategi pengendalian HIV/AIDS.",1/12/2024,HEALTH
"Sudah Sebar 1.000 Undangan Malah Banjir Saat Resepsi, Ini yang Dilakukan Pengantin Malaysia","KUALA LUMPUR, KOMPAS.com - Banjir Malaysia terbaru telah mengakibatkan lebih dari 120.000 orang harus mengungsi dan benar-benar menjadi pengalaman yang memilukan bagi mereka yang mengalaminya.Namun, beberapa warga Malaysia telah berhasil mengubah bencana ini menjadi situasi yang lebih berkesan.Seperti yang dilakukan oleh Nur Izzatul Asma Mustafa (22) dan Mohamed Khairie Mohamed Kamal (28) di Negara Bagian Kedah.Baca juga: Banjir Malaysia Paksa 122.631 Orang Mengungsi, Kenapa Bisa Begitu Banyak?Mereka tetap antusias menggelar pesta pernikahan di tengah-tengah banjir yang sedang melanda wilayahnya.Keluarga mereka awalnya telah menyebar lebih kurang 1.000 undangan untuk kerabat dan kolega.Mereka pun tetap mengadakan acara pernikahan sesuai dengan tanggal yang telah ditetapkan. Nah, keduanya terlihat ""berdamai"" dengan situasi banjir kala hari pernikahan itu datang.Salah satunya, dengan mengenakan busana pernikahan yang sudah disiapkan, mereka asyik berfoto di tengah-tengah banjir.Sebagaimana dilansir Media Malaysia, Astro Awani, pada Sabtu (30/11/2024), Nur Izzatul mengaku, awalnya tak menyangka pesta pernikahannya bakal berubah di menit-menit terakhir.Namun, dia dan suaminya, memutuskan untuk tidak ambil pusing.Dia mengatakan, rencana mereka telah dibuat sejak Mei.Mereka pun bukan hanya telah mendistribusikan kartu undangan, melainkan juga memesan dekorasi atau pelaminan, pakaian pernikahan, penata rias, dan suvenir, dengan biaya total sekitar 20.000 ringgit Malaysia (sekitar Rp 70 juta).Baca juga: Jenazah WNI Korban Kecelakaan Lalu Lintas di Malaysia Telah Dipulangkan ke IndonesiaUntungnya, banyak hal bisa disiasati.Salah satunya, makanan bisa dikemas untuk dibagikan kepada kolega dan keluarga karena banjir yang semakin parah.“Pihak katering setuju untuk mengantarkan pesanan makanan, tetapi kami harus mengemas semua makanan beserta suvenir untuk didistribusikan kepada kerabat dan kolega memakai truk,"" kata Nur Izzatul.",1/12/2024,GLOBAL
"Video Motor Nekat Terobos Palang Pintu KA, sampai Ribut dengan Petugas","JAKARTA, KOMPAS.com – Pengguna jalan di Indonesia masih banyak saja yang tidak sabar untuk menunggu kereta lewat saat berada di pelintasan.Ada saja alasannya saat mereka menerobos palang pelintasan kereta api, dari buru-buru, tanggung dan masih sempat.Seperti video yang diunggah Instagram @fakta.indo (30/11/2024), terlihat pengendara sepeda motor telah melewati palang pelintasan kereta dan dihentikan dengan paksa oleh seorang petugas.Baca juga: Video Bus PO Juragan 99 Trans Alami OversteerA post shared by Fakta Group | Fakta Indo (@fakta.indo)“Seorang pengendara motor menerobos palang pintu kereta yang sudah ditutup dan bersitegang dengan petugas yang mencoba menghentikannya. Meski tindakan itu membahayakan dirinya dan pengguna jalan lain, pengendara tersebut tetap memaksa melintas,” tulis keterangan Instagram tersebut.Aksi pemotor yang bersitegang dengan petugas dan tanpa merasa bersalah melewati palang kereta, jelas tidak pantas untuk ditiru.Budiyanto, pemerhati transportasi dan hukum, mengatakan, siapapun termasuk VVIP yang akan melintas pada pelintasan sebidang antara KA dan jalan, pemakai jalan wajib mendahulukan perjalanan KA.Baca juga: Benarkah Ganti Oli Mesin Hanya Gimik Marketing Bengkel?“Bagi mereka yang memaksakan melintas pada pelintasan sebidang padahal palang pintu sudah ditutup merupakan pelanggaran lalu lintas,” ujar Budiyanto, kepada Kompas.com, Minggu (1/12/2024).“Bahkan kalau sampai terjadi kecelakaan atau tertemper antara pengguna jalan dengan KA dan menimbulkan kerugian dari pihak KA, pihak PT Kereta Api bisa menuntut kepada pihak yang mengakibatkan terjadinya kecelakaan tersebut, melalui Pengadilan Perdata atau di luar pengadilan dengan cara musyawarah,” kata dia.Budiyanto juga mengatakan, ada dua dasar hukum yang mengatur perjalanan KA. Pertama adalah Undang-Undang No 23 tahun 2007 tentang Perkeretaapian. Kedua, Undang-Undang No 22 tahun 2009 tentang LLAJ.Baca juga: Salah Kaprah Penyebutan Busway, antara Bus dan JalurnyaDok. PT KAI Daop 7 Madiun Warga pengguna jalan menyeberangi rel kereta api di perlintasan sebidang yang ada di wilayah Daop 7 Madiun, Kamis (14/12/2023)Ia menambahkan, pelanggaran terhadap ketentuan dalam pasal tersebut dapat dikenakan pasal 296 UU No 22 tahun 2009 tentang LLAJ.“Setiap orang yang mengemudikan kendaraan bermotor pada pelintasan antara KA dan jalan yang tidak berhenti ketika sinyal sudah berbunyi, palang pintu KA sudah mulai ditutup, dan/atau isyarat lain sebagaimana dimaksud dalam pasal 114 huruf a dipidana dengan pidana kurungan paling lama tiga bulan atau denda paling banyak Rp 750.000,” bunyi pasal tersebut.Kemudian, apabila akibat dari ulah pemotor kemudian menimbulkan kecelakaan, menurut Budiyanto, pihak PT KA dapat menuntut ganti kerugian dari akibat yang ditimbulkan, via Pengadilan atau musyawarah di luar pengadilan.“Pasal 110 ayat (4) PP 72 tahun 2009 perjalanan KA lebih diutamakan karena apabila terjadi kecelakaan dampak dan kerugian yang ditimbulkan dapat lebih besar,” kata dia.",1/12/2024,OTOMOTIF
Blak-blakan PKB soal RK-Suswono Kurang Gereget di Pilkada Jakarta...,"JAKARTA, KOMPAS.com - Pemilihan Kepala Daerah (Pilkada) Jakarta 2024 menyisakan catatan menarik, terutama bagi Partai Kebangkitan Bangsa (PKB).Pasangan calon gubernur dan wakil gubernur nomor urut satu, Ridwan Kamil (RK) dan Suswono, yang didukung PKB dan Koalisi Indonesia Maju (KIM), menunjukkan performa yang kurang memuaskan berdasarkan hasil hitung cepat.Situasi ini memunculkan pertanyaan besar tentang efektivitas strategi pemenangan partai pengusung, termasuk PKB.Baca juga: Tak Ungguli Pramono-Rano di Quick Count, Ridwan Kamil: Siap Menang, Siap KalahWakil Ketua Umum PKB Jazilul Fawaid menepis tudingan mereka tidak maksimal memenangkan RK-Suswono. Menurutnya, partai telah bekerja keras. Bahkan, seluruh struktur, termasuk anggota DPRD DKI Jakarta dari PKB, sudah mengerahkan upaya maksimal.""Teman-teman bekerja, bahkan mengeluarkan uang. Kalau yang dijual tidak laku, apa mau dikata?"" ungkap Jazilul dalam konferensi pers di Hotel Sultan, Jakarta, Jumat (29/11/2024) lalu.Jazilul juga mengungkapkan perbedaan antara pemilu legislatif dan pilkada. Ia menekankan faktor figur kandidat sangat menentukan dalam pilkada, sesuatu yang menurutnya menjadi tantangan besar dalam memenangkan RK-Suswono.Baca juga: Kubu Pramono dan RK Saling Klaim Hasil Pilkada Jakarta, Pakar: Perlu Dimaklumi, Semuanya Ingin Menang Jazilul menyebutkan kandidat yang diusung PKB tidak berhasil menarik perhatian publik. Ia menilai pencalonan gubernur Jakarta tidak melalui proses yang ideal di tingkat akar rumput.Akibatnya, warga DKI merasa pilihan yang tersedia tidak menarik.""Faktanya, pasangan RK-Suswono tidak menarik. Ini adem-ayem,"" ujar Jazilul.Menurutnya, rendahnya daya tarik pasangan ini juga disebabkan absennya sosok yang mampu menjadi figur nasional.Jazilul mencatat, biasanya Pilkada Jakarta menghadirkan tokoh yang bisa menjadi pemimpin skala nasional, tetapi kondisi tahun ini berbeda.""Untuk DKI saja, warganya tidak antusias,"" ucap Jazilul.Baca juga: RK-Suswono Disarankan Kurangi Blunder jika Ingin Menang Pilkada, Seandainya 2 PutaranData Komisi Pemilihan Umum (KPU) DKI Jakarta menunjukkan partisipasi pemilih di Pilkada 2024 hanya mencapai 53,05 persen, terendah sepanjang sejarah Pilkada Jakarta.Dengan lebih dari 8 juta orang dalam Daftar Pemilih Tetap (DPT), sekitar 3,8 juta orang memilih untuk tidak menggunakan hak suara.Jazilul menilai angka golput tinggi ini disebabkan oleh latar belakang masyarakat Jakarta yang terpelajar, cenderung kritis, dan sulit merasa puas dengan kandidat yang ada.Baca juga: Ridwan Kamil Siap Lanjut Pilkada Putaran Kedua, Anies: Di Awal Pengin Satu PutaranKetua tim pemenangan RK-Suswono, Ahmad Riza Patria, menegaskan seluruh partai pengusung tetap solid. Ia membantah adanya partai yang tidak bekerja.""Setiap hari, mesin partai bergerak. Semua kompak, hadir, bekerja dari pagi sampai pagi lagi,"" kata Riza di Kantor DPD Golkar, Jakarta.",1/12/2024,NEWS
"Pencuri Mesin Cuci Ditangkap di Deli Serdang, Pakai 8 Lapis Baju untuk Kelabui Warga","MEDAN, KOMPAS.com – Polisi menangkap seorang pria bernama Rio Aditya (24) yang mencuri mesin cuci dari sebuah usaha laundry di Desa Bulu Cina, Kecamatan Hamparan Perak, Kabupaten Deli Serdang, Sumatera Utara.Kapolsek Hamparan Perak, AKP Mualimin, menyebut Rio mencuri dua unit mesin cuci dari usaha milik Vera (36) pada Jumat (29/11/2024).“Pelaku mencuri dua unit mesin cuci. Dia menggunakan linggis untuk membobol pintu, satu becak motor, serta satu obeng,” kata Mualimin melalui telepon, Sabtu (30/11/2024).Baca juga: Diancam Pakai Parang karena Tak Diberi Uang Beli Narkoba, Ibu di Medan Penjarakan AnaknyaSetelah korban melapor, polisi melakukan olah tempat kejadian perkara (TKP) dan mengidentifikasi pelaku menggunakan rekaman CCTV serta keterangan saksi.Rio ditangkap Sabtu (30/11/2024) dini hari di Dusun Karang Luas, Desa Bulu Cina, tidak jauh dari lokasi kejadian. Polisi menyita sejumlah barang bukti, termasuk dua mesin cuci.“Uniknya, pelaku memakai delapan lapis baju. Menurutnya, itu untuk mengelabui warga. Kalau dia ketahuan, bajunya dilepas satu per satu agar warga bingung,” jelas Mualimin.Baca juga: Jalur Medan-Berastagi Segera Dibuka Setelah Longsor DibersihkanRio kini telah ditetapkan sebagai tersangka dan ditahan di Polsek Hamparan Perak untuk proses hukum lebih lanjut.“Kami akan mengusut tuntas kasus ini agar menjadi pembelajaran dan memberikan efek jera kepada pelaku,” tutupnya.",1/12/2024,REGIONAL
